+--------+----------------------------------------------------+--------------------------------------------------+
| Locale | Key                                                | Value in other locales or source                 |
|   en   | couchrest.attributes.report.aggregate_by                      | Group by row                                                                                                                                                       |
|   en   | couchrest.fields.Description                                  | Description                                                                                                                                                        |
|   en   | couchrest.fields.Name                                         | Name                                                                                                                                                               |
|   en   | couchrest.fields.Password                                     | Password                                                                                                                                                           |
|   en   | couchrest.fields.Remote app url                               | Remote app url                                                                                                                                                     |
|   en   | couchrest.fields.Username                                     | Username                                                                                                                                                           |
|   en   | couchrest.validations.blank                                   | %s must not be blank                                                                                                                                               |
|   en   | dashboard.count_new_bia_approvals                             | {"one"=>"%{stat} <span>new %{stat_type}</span> Approval", "other"=>"%{stat} <span>new %{stat_type}</span> Approvals"}                                              |
|   en   | dashboard.count_new_case_plan_approvals                       | {"one"=>"%{stat} <span>new %{stat_type}</span> Approval", "other"=>"%{stat} <span>new %{stat_type}</span> Approvals"}                                              |
|   en   | dashboard.count_new_closure_approvals                         | {"one"=>"%{stat} <span>new %{stat_type}</span> Approval", "other"=>"%{stat} <span>new %{stat_type}</span> Approvals"}                                              |
|   en   | dashboard.count_pending_approval_total                        | {"one"=>"You have %{stat} <span>pending %{stat_type}</span> Approval ", "other"=>"You have %{stat} <span>pending %{stat_type}</span> Approvals "}                  |
|   en   | dashboard.count_pending_transfers                             | {"one"=>"You have %{stat} <span>pending</span> Transfer ", "other"=>"You have %{stat} <span>pending</span> Transfers "}                                            |
|   en   | dashboard.count_records_new                                   | {"one"=>"and %{stat} <span>new</span> case", "other"=>"and %{stat} <span>new</span> cases"}                                                                        |
|   en   | dashboard.count_records_total                                 | {"one"=>"You have %{stat} <span>total</span> case ", "other"=>"You have %{stat} <span>total</span> cases "}                                                        |
|   en   | dashboard.count_referrals_new                                 | {"one"=>"and %{stat} <span>new</span> referrals", "other"=>"and %{stat} <span>new</span> referrals"}                                                               |
|   en   | dashboard.count_referrals_total                               | {"one"=>"You have %{stat} <span>total</span> referral ", "other"=>"You have %{stat} <span>total</span> referrals  "}                                               |
|   en   | dashboard.count_rejected_approval_total                       | {"one"=>"and %{stat} <span>rejected %{stat_type}</span> Approval ", "other"=>"and %{stat} <span>rejected %{stat_type}</span> Approvals "}                          |
|   en   | dashboard.count_rejected_transfers                            | {"one"=>"and %{stat} <span>rejected</span> Transfer ", "other"=>"and %{stat} <span>rejected</span> Transfers "}                                                    |
|   en   | dashboard.count_risk_level_new                                | {"one"=>"and %{stat} <span>new</span> <span>%{stat_type} risk</span> case", "other"=>"and %{stat} <span>new</span> <span>%{stat_type} risk</span> cases"}          |
|   en   | dashboard.count_risk_level_total                              | {"one"=>"You have %{stat} <span>%{stat_type} risk</span> case ", "other"=>"You have %{stat} <span>%{stat_type} risk</span> cases "}                                |
|   en   | dashboard.manager_count_closed_total                          | {"one"=>"and %{stat} <span>closed</span> case ", "other"=>"and %{stat} <span>closed</span> cases "}                                                                |
|   en   | dashboard.manager_count_open_total                            | {"one"=>"You have %{stat} <span>open</span> case ", "other"=>"You have %{stat} <span>open</span> cases "}                                                          |
|   en   | dashboard.manager_transfers_totals                            | {"one"=>"You have %{stat} <span>%{stat_type}</span> Transfer ", "other"=>"You have %{stat} <span>%{stat_type}</span> Transfers "}                                  |
|   en   | dashboard.worker_count_referrals_total                        | {"one"=>"<span>%{case_worker}</span> has %{stat} <span>total</span> referral ", "other"=>"<span>%{case_worker}</span> has %{stat} <span>total</span> referrals  "} |
|   en   | dashboard.worker_count_total                                  | {"one"=>"<span>%{case_worker}</span> has %{stat} <span>total</span> case ", "other"=>"<span>%{case_worker}</span> has %{stat} <span>total</span> cases "}          |
|   en   | details                                                       | Details                                                                                                                                                            |
|   en   | device.messages.disable                                       | Are you sure you want to disable this device?                                                                                                                      |
|   en   | disabled.status.all                                           | All                                                                                                                                                                |
|   en   | disabled.status.disabled                                      | Disabled                                                                                                                                                           |
|   en   | disabled.status.enabled                                       | Enabled                                                                                                                                                            |
|   en   | discard                                                       | Discard                                                                                                                                                            |
|   en   | email                                                         | Email                                                                                                                                                              |
|   en   | errors.models.child.age                                       | Age must be between 0 and 130                                                                                                                                      |
|   en   | errors.models.child.date_closure                              | The Case Closure Date should be greater or equal than Case Opening Date.                                                                                           |
|   en   | errors.models.child.document_type                             | The type %{type} is invalid.                                                                                                                                       |
|   en   | errors.models.child.value_range                               | %{field_name} must be between %{min} and %{max}                                                                                                                    |
|   en   | errors.models.enquiry.create_forbidden                        | Forbidden                                                                                                                                                          |
|   en   | errors.models.enquiry.malformed_query                         | Invalid request                                                                                                                                                    |
|   en   | errors.models.enquiry.not_found                               | Not found                                                                                                                                                          |
|   en   | errors.models.enquiry.presence_of_reporter_details            | Please add reporter details to your enquiry                                                                                                                        |
|   en   | errors.models.field.has_1_option                              | Checkbox must have at least 1 option                                                                                                                               |
|   en   | errors.models.field.unique_name_other                         | Field already exists on form '%{form_name}'                                                                                                                        |
|   en   | errors.models.form_section.presence_of_base_language_name     | The name of the base language '%{base_language}' can not be blank                                                                                                  |
|   en   | errors.models.incident.document_format                        | Executable files are not allowed.                                                                                                                                  |
|   en   | errors.models.lookup.value_presence                           | Please select at least one lookup value                                                                                                                            |
|   en   | errors.models.ownership.associated_user_names_present         | A user must be associted with this record                                                                                                                          |
|   en   | errors.models.ownership.module_id_prsesnt                     | A module must be associated wit this record                                                                                                                        |
|   en   | errors.models.replication.is_continuous                       | Continuous Replication?                                                                                                                                            |
|   en   | errors.models.report.name_presence                            | Name must not be blank                                                                                                                                             |
|   en   | errors.models.reporting_location.label_key                    | Label Key must be one of Location Base Type values                                                                                                                 |
|   en   | errors.template.header.body                                   | There were problems with the following fields:                                                                                                                     |
|   en   | errors.template.header.one                                    | 1 error prohibited this %{model} from being saved                                                                                                                  |
|   en   | errors.template.header.other                                  | %{count} errors prohibited this %{model} from being saved                                                                                                          |
|   en   | exports.case_pdf.all                                          | PDF                                                                                                                                                                |
|   en   | exports.case_pdf.one                                          | PDF                                                                                                                                                                |
|   en   | exports.csv.all                                               | CSV                                                                                                                                                                |
|   en   | exports.csv.one                                               | CSV                                                                                                                                                                |
|   en   | exports.custom_exports.label                                  | Custom Exports                                                                                                                                                     |
|   en   | exports.incident_recorder_xls.all                             | Incident Recorder                                                                                                                                                  |
|   en   | exports.incident_recorder_xls.one                             | Incident Recorder                                                                                                                                                  |
|   en   | exports.incident_recorder_xls.service_referral.undecided      | Undecided at time of report                                                                                                                                        |
|   en   | exports.json.all                                              | JSON                                                                                                                                                               |
|   en   | exports.json.one                                              | JSON                                                                                                                                                               |
|   en   | exports.list_view_csv.all                                     | Export List View                                                                                                                                                   |
|   en   | exports.mrm_violation_xls.all                                 | MRM Violations                                                                                                                                                     |
|   en   | exports.mrm_violation_xls.one                                 | MRM Violations                                                                                                                                                     |
|   en   | exports.pdf.all                                               | PDF                                                                                                                                                                |
|   en   | exports.pdf.one                                               | PDF                                                                                                                                                                |
|   en   | exports.pdf_exports.label                                     | PDF                                                                                                                                                                |
|   en   | exports.photowall.all                                         | Photo Wall                                                                                                                                                         |
|   en   | exports.photowall.one                                         | Photo Wall                                                                                                                                                         |
|   en   | exports.selected_xls.all                                      | Excel                                                                                                                                                              |
|   en   | exports.selected_xls.one                                      | Excel                                                                                                                                                              |
|   en   | exports.unhcr_csv.all                                         | UNHCR                                                                                                                                                              |
|   en   | exports.unhcr_csv.one                                         | UNHCR                                                                                                                                                              |
|   en   | exports.xls.all                                               | Excel                                                                                                                                                              |
|   en   | exports.xls.one                                               | Excel                                                                                                                                                              |
|   en   | fields.file_upload_box.document_description                   | Document Description                                                                                                                                               |
|   en   | followup_reminders.child_status_closed                        | Closed                                                                                                                                                             |
|   en   | followup_reminders.child_status_duplicate                     | Duplicate                                                                                                                                                          |
|   en   | followup_reminders.child_status_open                          | Open                                                                                                                                                               |
|   en   | followup_reminders.child_status_transferred                   | Transferred                                                                                                                                                        |
|   en   | followup_reminders.high_risk_level                            | High                                                                                                                                                               |
|   en   | followup_reminders.low_risk_level                             | Low                                                                                                                                                                |
|   en   | followup_reminders.medium_risk_level                          | Medium                                                                                                                                                             |
|   en   | followup_reminders.system_generated_followup_flag             | mandatory follow up visit                                                                                                                                          |
|   en   | followup_reminders.system_generated_followup_unflag           | expired                                                                                                                                                            |
|   en   | followup_reminders.system_generated_followup_unflag_cancelled | cancelled                                                                                                                                                          |
|   en   | form                                                          | Form                                                                                                                                                               |
|   en   | form_section.buttons.add                                      | Add                                                                                                                                                                |
|   en   | form_section.messages.hide_confirmation                       | Are you sure you want to hide fields?                                                                                                                              |
|   en   | form_section.messages.order_saved                             | Order is successfully saved.                                                                                                                                       |
|   en   | form_section.messages.show_confirmation                       | Are you sure you want to show fields?                                                                                                                              |
|   en   | forms.save                                                    | Save Form                                                                                                                                                          |
|   en   | gbv_report.gbv_reporting_agency                               | Yes-GBVIMS Org / Agency                                                                                                                                            |
|   en   | gbv_report.non_gbv_reporting_agency                           | Yes-Non GBVIMS Org / Agency                                                                                                                                        |
|   en   | gbv_report.undecided                                          | Undecided at time of report                                                                                                                                        |
|   en   | header.system_settings                                        | System Settings                                                                                                                                                    |
|   en   | header.welcome                                                | Welcome                                                                                                                                                            |
|   en   | hello                                                         | Hello                                                                                                                                                              |
|   en   | help_text                                                     | Help text                                                                                                                                                          |
|   en   | hidden                                                        | Hidden                                                                                                                                                             |
|   en   | incident.another_duplicate_after_link                         | to see the duplicate record.                                                                                                                                       |
|   en   | incident.another_duplicate_before_link                        | Another record has been marked as a duplicate of this one. Click                                                                                                   |
|   en   | incident.case_worker_code                                     | Case Worker Code                                                                                                                                                   |
|   en   | incident.change_log                                           | Change Log                                                                                                                                                         |
|   en   | incident.date_of_incident                                     | Date of Incident                                                                                                                                                   |
|   en   | incident.date_of_interview                                    | Date of Interview                                                                                                                                                  |
|   en   | incident.duplicate_header                                     | Marking %{child_name} as Duplicate                                                                                                                                 |
|   en   | incident.flagged_by                                           | Flagged By                                                                                                                                                         |
|   en   | incident.id                                                   | ID#                                                                                                                                                                |
|   en   | incident.id_of_record_this_duplicate_of                       | Enter the ID of the record this is a duplicate of:                                                                                                                 |
|   en   | incident.incident_location                                    | Incident Location                                                                                                                                                  |
|   en   | incident.investigation_details                                | Investigation Details:                                                                                                                                             |
|   en   | incident.last_updated                                         | Last updated                                                                                                                                                       |
|   en   | incident.mark_as_duplicate                                    | Mark as Duplicate                                                                                                                                                  |
|   en   | incident.registered_by                                        | Registered by                                                                                                                                                      |
|   en   | incident.reunite_details                                      | Reunite Details:                                                                                                                                                   |
|   en   | incident.select                                               | Select                                                                                                                                                             |
|   en   | incident.social_worker                                        | Social Worker                                                                                                                                                      |
|   en   | incident.survivor_code                                        | Survivor Code                                                                                                                                                      |
|   en   | incident.unflag_error_message                                 | Please explain why you are unflagging this record.                                                                                                                 |
|   en   | incident.unflag_record                                        | Unflag Record                                                                                                                                                      |
|   en   | incident.violation_status_verified                            | Verified                                                                                                                                                           |
|   en   | incident.violations                                           | Violations                                                                                                                                                         |
|   en   | incident.violence_type                                        | Violence Type                                                                                                                                                      |
|   en   | job.status.complete                                           | Complete                                                                                                                                                           |
|   en   | location.confirm_delete                                       | Are you sure you want to delete this location?                                                                                                                     |
|   en   | location.messages.cannot_create                               | Location could not be created                                                                                                                                      |
|   en   | location.messages.correct_errors                              | Please correct the following errors and resubmit:                                                                                                                  |
|   en   | login.password.re_enter                                       | Re-enter password                                                                                                                                                  |
|   en   | lookup.messages.cannot_create                                 | Lookup could not be created                                                                                                                                        |
|   en   | lookup.messages.correct_errors                                | Please correct the following errors and resubmit:                                                                                                                  |
|   en   | messages.approval_alert                                       | Approval is pending for %{form_name}                                                                                                                               |
|   en   | messages.enter_each_in_one_line                               | Enter each option on a new line                                                                                                                                    |
|   en   | messages.enter_valid_number                                   | %{field} must be a valid number                                                                                                                                    |
|   en   | messages.enter_valid_number_in_tally                          | %{field}: %{tally} must be a valid number                                                                                                                          |
|   en   | messages.field_change_alert                                   | The %{form_name} form was updated by the service provider on %{form_date}                                                                                          |
|   en   | messages.more_than_200_chars                                  | %{field} cannot be more than 200 characters long                                                                                                                   |
|   en   | messages.move_item                                            | You are about to move this field to another form section ({{selection_key}}). Is this OK?                                                                          |
|   en   | messages.no_more_than_x_chars                                 | %{field} cannot be more than %{length} characters long                                                                                                             |
|   en   | messages.record_count                                         | Showing %{start} to %{end} of %{total} records                                                                                                                     |
|   en   | messages.record_not_flagged_message                           | %{short_id}: Not flagged                                                                                                                                           |
|   en   | multi_select                                                  | Multi Select                                                                                                                                                       |
|   en   | navigation.children                                           | CHILDREN                                                                                                                                                           |
|   en   | navigation.go                                                 | Go                                                                                                                                                                 |
|   en   | navigation.search                                             | Search                                                                                                                                                             |
|   en   | new                                                           | New                                                                                                                                                                |
|   en   | no_results_found                                              | No results found                                                                                                                                                   |
|   en   | option_strings_source                                         | Option Strings Source                                                                                                                                              |
|   en   | pagination.page_entries_info                                  | Displaying _START_ to _END_ of _TOTAL_ %{model}                                                                                                                    |
|   en   | pagination.zero                                               | No %{model} found                                                                                                                                                  |
|   en   | permissions.Actions                                           | Actions                                                                                                                                                            |
|   en   | permissions.Management                                        | Management                                                                                                                                                         |
|   en   | permissions.Resources                                         | Resources                                                                                                                                                          |
|   en   | permissions.group.actions                                     | Actions                                                                                                                                                            |
|   en   | permissions.group.management                                  | Management                                                                                                                                                         |
|   en   | permissions.group.resource                                    | Resources                                                                                                                                                          |
|   en   | permissions.group.resources                                   | Resources                                                                                                                                                          |
|   en   | permissions.permission.admin_only                             | No records - Admin functionality only                                                                                                                              |
|   en   | permissions.permission.administrator_read                     | Administrator Read                                                                                                                                                 |
|   en   | permissions.permission.agency                                 | Agency                                                                                                                                                             |
|   en   | permissions.permission.all                                    | Access all records or users                                                                                                                                        |
|   en   | permissions.permission.approve_bia                            | Approve BIA form                                                                                                                                                   |
|   en   | permissions.permission.approve_case_plan                      | Approve Case Plan                                                                                                                                                  |
|   en   | permissions.permission.approve_closure                        | Approve Closure form                                                                                                                                               |
|   en   | permissions.permission.assign                                 | Assign                                                                                                                                                             |
|   en   | permissions.permission.case                                   | Case                                                                                                                                                               |
|   en   | permissions.permission.consent_override                       | Consent override                                                                                                                                                   |
|   en   | permissions.permission.copy                                   | Copy                                                                                                                                                               |
|   en   | permissions.permission.create                                 | Create                                                                                                                                                             |
|   en   | permissions.permission.dash_cases_by_social_worker            | View Cases By Social Worker                                                                                                                                        |
|   en   | permissions.permission.dash_cases_by_workflow                 | View Cases By Workflow                                                                                                                                             |
|   en   | permissions.permission.dash_cases_to_assign                   | View Cases To Assign                                                                                                                                               |
|   en   | permissions.permission.dash_manager_transfers                 | View Manager Transfers                                                                                                                                             |
|   en   | permissions.permission.dash_matching_results                  | View Matching Results                                                                                                                                              |
|   en   | permissions.permission.dash_protection_concerns               | View Protection Concerns                                                                                                                                           |
|   en   | permissions.permission.dash_referrals_by_socal_worker         | View Referrals By Social Worker                                                                                                                                    |
|   en   | permissions.permission.dash_reporting_location                | View Reporting Locations                                                                                                                                           |
|   en   | permissions.permission.dash_service_provisions                | View Service Provisions                                                                                                                                            |
|   en   | permissions.permission.dash_show_none_values                  | View None Values                                                                                                                                                   |
|   en   | permissions.permission.dash_transfers_by_socal_worker         | View Transfers By Social Worker                                                                                                                                    |
|   en   | permissions.permission.dashboard                              | Dashboard                                                                                                                                                          |
|   en   | permissions.permission.export_case_pdf                        | Export case pdf                                                                                                                                                    |
|   en   | permissions.permission.export_csv                             | Export csv                                                                                                                                                         |
|   en   | permissions.permission.export_custom                          | Export custom                                                                                                                                                      |
|   en   | permissions.permission.export_incident_recorder_xls           | Export incident recorder xls                                                                                                                                       |
|   en   | permissions.permission.export_json                            | Export json                                                                                                                                                        |
|   en   | permissions.permission.export_list_view_csv                   | Export list view csv                                                                                                                                               |
|   en   | permissions.permission.export_mrm_violation_xls               | Export mrm violation xls                                                                                                                                           |
|   en   | permissions.permission.export_pdf                             | Export pdf                                                                                                                                                         |
|   en   | permissions.permission.export_photowall                       | Export photowall                                                                                                                                                   |
|   en   | permissions.permission.export_unhcr_csv                       | Export unhcr csv                                                                                                                                                   |
|   en   | permissions.permission.export_xls                             | Export xls                                                                                                                                                         |
|   en   | permissions.permission.flag                                   | Flag                                                                                                                                                               |
